Part_No	Part_Type	Part_Category	Description	Manufacturer	Cylinders	Liters	CCs	Stroke	Rod	Main	Front_Seal_Dia	Rear_Seal_Dia	Bore	Connect_Rod_Len	Camshaft	Valves	Casting_No	Trans_Speed	Trans_Type	Notes	Application_Start_Yr	Application_End_Yr	Metal	KB_Product_Code	On_Hand	Price
BCH57AB	Engine	Bare Block	010+ *O16 LEFT.S DIPSTICK 4 BOLTS MAIN	GM	V8	5.7	350										"10, 14"			4 BLOTS	1968	1986	Cast	1300		
MC32FBB	Engine	Long Block	601 +*D24 +201 3.2L I-6 MERCEDES `95+	Mercedes	I6	3.2											"1040111601, 201"				1995		ALUM	1303		
FO30AK	Engine	Short Block	3F1E+*012 3.0L FORD V6 CASTIRON `03+	FORD	V6	3											3F1E				2003		Cast	1302		
CKFO25EB	Engine Part	Camshaft	8E5G+*D16 FORD ESCAPE HYBRID I-4 `08+	FORD	I4	2.5			"2.046"""	"2.046"""							8E5G				2008		Cast	1305		
CMCH31B	Engine Part	Camshaft	5674+*012HRFIST*SENSOR NOTCH +3.4L 93+	GM	V6	"3.1, 3.4"	"3100, 3400"										5674				1993		Cast	1309		
CRDC40B	Engine Part	Connecting Rod	+ *S24 4.0L PACIFICA 300M `07+	Chrysler	V6	4															2007		ALUM	1306		
CKAJ22A	Engine Part	Crankshaft	127+ *O08 I4 STRAIGHT PIN-134 `46-71	"AMC, Jeep"		2.2L														C					Call for inventory	50
CKAJ22B	Engine Part	Crankshaft	127+ *O08 I4 TAPERED PINS 134 46-71	"AMC, Jeep"		2.2L														C					Call for inventory	50
CKAJ25A	Engine Part	Crankshaft	"""611+ *O08 2 1/2"""" L0NG NECK `83-86"""	"AMC, Jeep"		2.5L																			Call for inventory	50
CKAJ25B	Engine Part	Crankshaft	"""904 *2""""SHORT NECK 2 1/16"""" `87-02"""	"AMC, Jeep"		2.5L																			Call for inventory	50
CKAJ25C	Engine Part	Crankshaft	"""904 *O08 2"""" NECK LENGTH"""	"AMC, Jeep"		2.5L														FI					Call for inventory	50
CKAJ38A	Engine Part	Crankshaft	722+ *232 CID I6 `72-79	"AMC, Jeep"		3.8L											"627, 722, 772, 794"			CASTING # 627 - 722 - 772 - 794					Call for inventory	35
CKAJ38AA	Engine Part	Crankshaft	216+ *O12 232 CID STEEL `65-71	"AMC, Jeep"		4.0L																			Call for inventory	35
CKAJ40A	Engine Part	Crankshaft	453+ *O12 .550 DEEP PILOT `87-90	"AMC, Jeep"		4.0L																			Call for inventory	35
CKAJ40B	Engine Part	Crankshaft	"""453+ *O12 .850"""" DEEP PILOT `91-95"""	"AMC, Jeep"		4.0L																			Call for inventory	35
CKAJ40C	Engine Part	Crankshaft	"""411+ *O12 .400"""" ROD LUGS `96+"""	"AMC, Jeep"		4.0L																			Call for inventory	45
CKAJ42A	Engine Part	Crankshaft	477+ *O12 258 CID I-6 2 1/2IN NECK `72-86	"AMC, Jeep"		4.2L											"477, 723"			CASTING 477 4 CWTS OR 723 12 CWTS ASK FOR 4 OR 12 CWTS					Call for inventory	35
CKAJ42B	Engine Part	Crankshaft	"""723+ *O12 258 CID I-6 2"""" NECK"""	"AMC, Jeep"		4.2L														FI					Call for inventory	35
CKAJ42C	Engine Part	Crankshaft	"""727 *012 258CID 2 1/16"""" NECK"""	"AMC, Jeep"		4.2L														FI					Call for inventory	75
CKAJ50B	Engine Part	Crankshaft	724+ *304/360 CID V8 `72-91	"AMC, Jeep"		5.0L														C					Call for inventory	35
CKAJ53A	Engine Part	Crankshaft	388 *327 CID V8	"AMC, Jeep"		5.3L														C					Call for inventory	35
CKAJ56A	Engine Part	Crankshaft	451+ *343 CID V8 `67-69	"AMC, Jeep"		5.6L											"451, 451C, 461, 816"			CASTING # 451 - 451C - 461 - 816					Call for inventory	35
CKAJ59B	Engine Part	Crankshaft	724+ *304/360 CID V8 `72-91	"AMC, Jeep"		5.9L														C					Call for inventory	35
CKBM44AA	Engine Part	Crankshaft	768 *D32 M62B44 BMW V8	BMW		4.4L														FI					Call for inventory	75
CKBU30AA	Engine Part	Crankshaft	404+ *O12 3.0L TALL DECK BLOCK `82-85	Buick		3.0L											"257, 404"			""" CASTING # 257, 404"""					Call for inventory	35
CKBU30AB	Engine Part	Crankshaft	732 *O12 3.0L SHORT DECK BLOCK `85-88	Buick		3.0L																			Call for inventory	35
CKBU32AB	Engine Part	Crankshaft	"""877+ *O12 3/4"""" BOLT RWD+229 4.1L `78-89"""	Buick		3.2L											"125, 229, 674, 877"			""" CASTING# 125, 229, 674, 877 """					Call for inventory	35
CKBU33AA	Engine Part	Crankshaft	694+ *O12 3.3L 6 BOLT +413 `89-90	Buick		3.3L														FI					Call for inventory	35
CKBU33AC	Engine Part	Crankshaft	817+ *O12 8 BOLT `91-94	Buick		3.3L											"385, 815"			""" CASTING #385, 815"""					Call for inventory	35
CKBU37AA	Engine Part	Crankshaft	354+ *O12 225 CID `64-67	Buick		3.7L											"351, 354"			""" CASTING# 351, 354"""					Call for inventory	35
CKBU38AA	Engine Part	Crankshaft	645+ *O12 231 CID `75-77	Buick		3.8L											"351, 354, 645, 846, 898"			""" CASTING 351, 354,645,846,898"""					Call for inventory	35
CKBU38AB	Engine Part	Crankshaft	"""877+ *O12 3/4"""" BOLT RWD+229 ALSO 4.1L `78-89"""	Buick		"3.8L, 4.1L"											"125, 229, 674, 877"			""" CASTING# 125, 229, 674, 877 """					Call for inventory	35
CKBU38ABA	Engine Part	Crankshaft	"""125+ *O12 5/8""""BOLT (+3.2L)"""	Buick		3.8L																			Call for inventory	35
CKBU38ABB	Engine Part	Crankshaft	"""877+ *877 U/C RADIUS,TURBO `84-89"""	Buick		3.8L											"125, 229, 674, 877"			""" CASTING# 125, 229, 674, 877 ROD AND MAIN MUST HAVE UNDERCUT RADIUS """					Call for inventory	100
CKBU38AC	Engine Part	Crankshaft	267 *O12 FWD `84-88	Buick		3.8L																			Call for inventory	35
CKBU38AD	Engine Part	Crankshaft	502+ *O12 (CAM DRVN.BAL.SHAFT) `88-90	Buick		3.8L											"502, 113"			""" CASTING # 502, 113"""					Call for inventory	35
CKBU38AE	Engine Part	Crankshaft	737+ *O12 3800 SERIES I 8 BOLT `91-95	Buick		3.8L														FI					Call for inventory	35
CKBU38AF	Engine Part	Crankshaft	2170 *O12 SERIES II `95+	Buick		3.8L											2170			FI CASTING# 2170					Call for inventory	75
CKBU41AA	Engine Part	Crankshaft	"""877+ *O12 3/4"""" BOLT RWD+229 3.8L `78-89"""	Buick		"3.2L, 4.1L"											"125, 229, 674, 877"			""" CASTING# 125, 229, 674, 877 """					Call for inventory	35
