Part_No	Part_Type	Part_Category	Description	Manufacturer	Cylinders	Liters	CID	Stroke	Rod	Main	Front_Seal_Dia	Rear_Seal_Dia	Bore	Connect_Rod_Len	Camshaft	Valves	Casting_No	Trans_Speed	Trans_Type	Notes	Application_Start_Yr	Application_End_Yr	Metal	KB_Product_Code	On_Hand	Price
103A022T10			BAND- LOW	GM															PGA					600	Call for inventory	15
103A500	Transmission Part	Pump	FRONT PUMP- WATER COOLED	GM															PGA					600	Call for inventory	50
103A500A	Transmission Part	Pump	FRONT PUMP- AIR COOLED	GM															PGA					600	Call for inventory	50
103A500T91	Transmission Part	Pump	REAR PUMP	GM															PGA					600	Call for inventory	25
103A554T01	Transmission Part	Drum	DRUM- HIGH CLUTCH- 4CL.	GM															PGA					600	Call for inventory	22
103A554T02	Transmission Part	Drum	DRUM- HIGH CLUTCH- 5CL.	GM															PGA					600	Call for inventory	22
103A574T41	Transmission Part	Hub	HUB- DIRECT DRUM CL.	GM															PGA					600	Call for inventory	22
103A584T21	Transmission Part	Planetary	PLANETARY/ SHAFT- OUTPUT	GM															PGA					600	Call for inventory	65
103A584T22	Transmission Part	Planetary	PLANETARY /SHAFT- 327 CID	GM															PGA					600	Call for inventory	65
103A594T61	Transmission Part	Ring Gear	RING GEAR	GM															PGA					600	Call for inventory	28
103A594T62	Transmission Part	Ring Gear	RING GEAR- 327 CID TYPE	GM															PGA					600	Call for inventory	28
103A614T01	Transmission Part	Sungear	SUN GEAR/ FLANGE- INPUT	GM															PGA					600	Call for inventory	45
103A614T02	Transmission Part	Sungear	SUN GEAR/ HUB- INPUT -327 CID	GM															PGA					600	Call for inventory	45
103A670T31	Transmission Part	Shaft	SHAFT- TURBINE/ INPUT	GM															PGA					600	Call for inventory	18
103A670T32	Transmission Part	Shaft	SHAFT- TURBINE- 327 CID TY	GM															PGA					600	Call for inventory	18
103A680T51	Transmission Part	Governors	GOVERNOR	GM															PGA					600	Call for inventory	15
103A740T01	Transmission Part	Valve Body	VALVE BODY-REAR PUMP TYP	GM															PGA					600	Call for inventory	40
103A740T02	Transmission Part	Valve Body	VALVE BODY- W/O REAR PUMP	GM															PGA					600	Call for inventory	40
103A760T21	Transmission Part	Case	CASE- WATER COOLED TYPE	GM															PGA					600	Call for inventory	100
